608_0 	ADC8VBKOVOCRR 	This essay is about the language of Bengali
1136_5 	A2HFASY1SVXPSP 	The country is bordered by Afghanistan and Iran in the west&#44; India in the east and the Tibet and Sinchiung province of China in the far northeast.
1136_6 	A2LG0SJYIUIRNC 	Islamabad is the capital of Pakistan.
1136_7 	A2HFASY1SVXPSP 	Karachi is the largest city of the country.
1136_8 	A2WEPQZ7UNOYYF 	Present Pakistan belong from the Indus Valley Civilization which was the ancient civilization of south Asia from 25th to 17th B.C.
1136_9 	A16IVTYAYSV3SA 	From 1526 AD till 18th Century AD&#44; this area was the part of the Mughal Empire.
1171_0 	A16IVTYAYSV3SA 	Australia (in English&#44; Australia) is an island continent.
1171_1 	A28YA9BQFLXOPT 	It is located in the Southern Eastern part of Asia and is located in the Oceania region.
1171_2 	A16IVTYAYSV3SA 	It has formed the Commonwealth of Australia with it neighbor Tasmania.
1171_3 	A16IVTYAYSV3SA 	In the North of this country there are Timur sea&#44; Arafura sea and Torres channel; in the East there are Polyp sea and Tasman sea; in the South there are Bass channel and Indian ocean and in the West there is also the Indian ocean.
1171_4 	A16IVTYAYSV3SA 	The country stretches 4000 kilometers from East to West and 3700 kilometers from North to South.
1171_5 	A1ZAA9FM3OEIK5 	Australia is the smallest continent but the sixth largest country in the world.
1171_7 	APKIU97LIYZ8U 	Sydney is the largest city.
1171_8 	A1ZAA9FM3OEIK5 	Both of these cities are located in the south-eastern part of Australia.
1171_9 	A2HFASY1SVXPSP 	The Great Barrier Reef is the world&#39;s largest reef system
1193_1 	A16IVTYAYSV3SA 	In the imagery of Rafael&#44; Euclid&#44; the greatest mathematician of the 3rd Century AD was the part of his painting &#39;The School of Athens&#39;.
1193_2 	A16IVTYAYSV3SA 	Mathematics is a research on the subjects of quantity&#44; formation&#44; transformation and location.
1193_3 	A3F9QBUALMKO1 	Mathematics explains the relationship between numbers and different measuring units.
1193_4 	A3F9QBUALMKO1 	Scientists exchange their concepts with others through the universal language of mathematics.
1193_5 	AKZBNT298EBKI 	Mathematics is thus the language of science.
1193_6 	AKZBNT298EBKI 	Till the 17th century&#44; only Arithmetics&#44; Algebra and Geometry were considered in mathematical studies
1193_7 	AKZBNT298EBKI 	At that time&#44; mathematics was no different a study from philosophy and science.
1193_8 	A2JPXAF2MC24F7 	Mathematical theories were initiated by the Greeks&#44; conserved by the Muslim intellectuals and in the middle age Christian priests held them.
1208_0 	AKZBNT298EBKI 	Wikipedia is a web-based&#44; multilingual&#44; open encyclopedia that is governed by a non profit organization named Wikimedia Foundation.
1208_1 	AKZBNT298EBKI 	The literal meaning of the word Wiki is (In Hawaiian language) walking.
1208_2 	AKZBNT298EBKI 	Wiki wiki means walking in small steps.
1208_3 	A3F9QBUALMKO1 	In wiki wiki web culture&#44; the combined effort of all creates an increasing collection like this site.
1208_4 	AKZBNT298EBKI 	There are in total 130 million articles that were created by the combined efforts of volunteers from different countries.
1208_5 	A2OE1LT946KVM9 	Anyone who can browse Wikipedia through internet&#44;can contribute to all the articles in it.
1208_6 	ADC8VBKOVOCRR 	Jimmy Wales and Larry Sanger established this on 15th January&#44; 2001.
1208_7 	ADC8VBKOVOCRR 	Currently this is used as the largest and most popular internet based information-thread.
1209_0 	A28YA9BQFLXOPT 	The word &quot;biswakos&quot; is the translated word in Bengali for the word Encyclopedia.
1209_2 	A16IVTYAYSV3SA 	The word has been derived from its Greek origin &#39;Enkuklia Paidea&#39; which means &quot;General Education&quot;.
1209_3 	A16IVTYAYSV3SA 	Definition: Encyclopedia is such a collection which includes general information about every thing of the world or includes a detailed and profound discussion about a particular subject.
1209_4 	A16IVTYAYSV3SA 	Encyclopedia of Bengali Language
1209_5 	A28YA9BQFLXOPT 	Nogendronath Basu started the work on the encyclopedia named &quot;Biswakosh&quot; from 1902 and it was published in the year 1911.
1209_6 	A2OE1LT946KVM9 	The Vishwakosh consisted of seventeen thousand pages&#44; spred over 22 volumes
1209_7 	A28YA9BQFLXOPT 	But the first encyclopedia in Bengali to be mentioned was published in the National Library with the mane &quot;Bharatkosh&quot;.
1209_8 	A2OE1LT946KVM9 	Publication period 1896-1906
1209_9 	APKIU97LIYZ8U 	The Bharat Kosh&#44; which was published in three parts&#44; was compiled by Rajkrishna Ray and Sarachhandra Deb.
1210_2 	ADC8VBKOVOCRR 	The map showing the number of Internet users in different countries of the World&#44; as per the calculation of April&#44;2006.
1210_3 	A2HFASY1SVXPSP 	The Internet is a global system of interconnected computer networks that use the standard Internet Protocol Suite  to serve billions of users worldwide
1210_4 	A2HFASY1SVXPSP 	It should be mentioned here that although the terms Internet and World Wide Web are often used in everyday speech without much distinction these are not one and the same.
1210_6 	A16IVTYAYSV3SA 	In the 1960s Advanced Research Projects Agency&#44; a research organization of the US Army&#44; had built up a communication system among some of the US Universities and Research centers experimentally.
1210_7 	A2HFASY1SVXPSP 	The network which was made by packet switching method was known as ARPANET
1210_8 	A2LG0SJYIUIRNC 	Primarily it was connected with.
1210_9 	A28YA9BQFLXOPT 	Stanford University
1218_0 	AKZBNT298EBKI 	Economics or study of Economics is a branch of Social Science that discusses product and production of labor&#44; supply&#44; barter&#44; distribution and consumption. Limited resource but unlimited demand - ensuring maximum utilization of resource from this fundamental perspective is the main objective of Economics. &#39;Orthoniti&#39; is a synonym of English Economics.
1218_2 	AKZBNT298EBKI 	The definition given by L. Robins is applicable to most cases of modern Economics.
1218_3 	A16IVTYAYSV3SA 	He says&#44; &quot;Economy narrates the human behavior towards the want and its relation to the limited and alternatively usable resources&quot;.
1295_0 	A2HFASY1SVXPSP 	Canada&#44; world&#39;s second largest country by total area&#44; is a country that covers most areas in the northern North America
1295_1 	A2HFASY1SVXPSP 	The land that is now Canada was inhabited for millennia by various groups of Aboriginal peoples.
1295_2 	A2HFASY1SVXPSP 	Beginning in the late 15th century&#44; British and French expeditions explored&#44; and later settled&#44; along the Atlantic coast.
1295_3 	A2HFASY1SVXPSP 	France ceded nearly all of its colonies in North America in 1763 after the Seven Years&#39; War.
1295_4 	A2HFASY1SVXPSP 	In 1867 Canada was formed as a federal dominion of four provinces through Confederation.
1295_5 	A2HFASY1SVXPSP 	This began an accretion of provinces and territories and a process of increasing autonomy from the United Kingdom.
1295_6 	A2HFASY1SVXPSP 	According to the Canada act&#44; 1982&#44; the federation consists of ten provinces and three territories&#44; Canada is governed as a parliamentary democracy and a constitutional monarchy
1295_7 	A2HFASY1SVXPSP 	Queen Elizabeth II is its head of state.
1295_8 	A2HFASY1SVXPSP 	Canada is a bilingual(English and French) and multicultural country.
1347_3 	A2HFASY1SVXPSP 	Japan ( Nihon or Nippon)is an island nation in North-eastern Asia.
1347_4 	A1ZAA9FM3OEIK5 	Located in the Pacific Ocean&#44; the country lies near the eastern coast of Asia.
1347_5 	A1ZAA9FM3OEIK5 	Japan is comprised of around 3000 islands of different size.
1347_6 	A1ZAA9FM3OEIK5 	The four major islands are Honshu&#44; Hokkaido&#44; Kyushu and Shikoku.
1347_7 	A2HFASY1SVXPSP 	Apart from these there are many small islands.
1347_8 	A1ZAA9FM3OEIK5 	In Japanese the country is called Nihon or Nippon&#44; which means origin of the sun.
1347_9 	A16IVTYAYSV3SA 	Japan was named this as this country was located to the east of the Chinese empire.
1495_1 	A2JPXAF2MC24F7 	This war began on March 26&#44; 1971 when Pakistani armed forces suddenly attacked the unarmed Bengalis in the dark of the night.
1495_2 	A3F9QBUALMKO1 	In Dhaka on a dark night of 25th March&#44;the Pakistani army killed many civilians&#44; students&#44; teachers&#44;police and intellectuals.
1495_3 	A16IVTYAYSV3SA 	Bangabandhu Seikh Mujibar Rahman&#44; the leader of the Awami League which had achieved the absolute majority in the general election in 1970 and the most popular leader of the Bengalis&#44; was arrested.
1495_4 	A16IVTYAYSV3SA 	Before his arrest he proclaimed the independence of Bangladesh in the first hours of the morning on 26th March.
1495_5 	A3F9QBUALMKO1 	The fight for freedom began in the whole country.
1495_6 	A3F9QBUALMKO1 	East Bengal Regiment&#44; East Pakistan Rifles&#44; East Pakistan Police&#44; Bengali members of Army and the people of Bangladesh who wanted freedom came together to form an army to fight for freedom.
1495_7 	A2JPXAF2MC24F7 	Fighting with guerilla tactics Muktibahini severely harassed the Pakistani attackers throughout the country.
1495_8 	A3F9QBUALMKO1 	At the time of freedom fight&#44; Bangladesh received economic&#44; military and diplomatic help from India.
1495_9 	A3F9QBUALMKO1 	Beginning of December&#44; when Bangladesh was about to get independence&#44; Pakistan declared war on India to divert the situation.
1505_0 	A2JPXAF2MC24F7 	Electrical engineering (often called Electrical and Electronic engineering) is a main branch of engineering that basically deals with electricity&#44; electronics and electro-magnetism.
1505_1 	A2HFASY1SVXPSP 	The field first became an identifiable occupation in the late nineteenth century after commercialization of the electric telegraph and electrical power supply.
1505_2 	A2HFASY1SVXPSP 	It now covers a range of subtopics including power&#44; electronics&#44; control systems&#44; signal processing and telecommunications.
1505_4 	A2HFASY1SVXPSP 	Where a distinction is made&#44; usually outside of the United States&#44; electrical engineering is considered to deal with the problems associated with large-scale electrical systems such as power transmission and motor control&#44;
1505_5 	A2HFASY1SVXPSP 	whereas electronic engineering deals with the study of small-scale electronic systems including computers and integrated circuits
1528_0 	A16IVTYAYSV3SA 	This article is about a person named Rabindranath Tagore.
1528_1 	A16IVTYAYSV3SA 	For other uses see Rabindranath Tagore (removal of ambiguity).
1528_2 	A3F9QBUALMKO1 	Rabindranath Tagore (7th May&#44; 1861-7th August 1941) (according to Bengali calendar&#44; 25 Baishakh&#44; 1268-22 Sraban&#44; 1348) was a Bengali poet&#44; novelist&#44; musician&#44; painter&#44; play-writer&#44; story-writer&#44; essayist and philosopher.
1528_3 	A3F9QBUALMKO1 	He is also known as Gurudev&#44; Kobiguru and Bishwa-Kobi.
1528_4 	A16IVTYAYSV3SA 	During the end of the nineteenth century and beginning of the twenteith century Rabindranath had brought a transitional change in Bengali music and literature.
1528_5 	A31II4QBW2DURA 	He was awarded the Nobel Prize in literature for his Anthologe &quot; Gitanjali&quot; in the year 1913
1528_6 	A31II4QBW2DURA 	This anthology was described by the Nobel foundation  as &quot;deeply touching&#44; bright and beautiful collection of poems&quot;
1528_7 	A16IVTYAYSV3SA 	Rabindranath was born of a Pirali Brahmin family of Calcutta.
1528_8 	A1D39ISETGHJB 	He started writing his first poetic composition at the age of only eight.
1528_9 	A16IVTYAYSV3SA 	His poem &quot;Bhanusingha&quot; was published in 1887 for the first time when he was only sixteen years old.
1529_0 	A2JPXAF2MC24F7 	Kazi Nazrul Islam(May 25&#44; 1899 - August 29&#44; 1976)a Bengali poet&#44; musician and philosopher who is better known for his leading role in Bengali literature.
1529_1 	A2JPXAF2MC24F7 	One of the greatest writer in Bengali&#44; patriotic and the national poet of Bangladesh.
1529_2 	A1D39ISETGHJB 	His poems and songs are equally popular in both west Bengal and Bangladesh.
1529_4 	A3F9QBUALMKO1 	The main subject of his poetry was on human torture and objections against slavery.
1529_5 	A1D39ISETGHJB 	In Bengali culture the respect and importance of Kazi Nazrul Islam is unbounded
1529_6 	A2HFASY1SVXPSP 	Nazrul was a Bengali poet&#44; author&#44; musician&#44; journalist&#44; politician and an army person who pioneered poetic works espousing intense spiritual rebellion against fascism and oppression
1529_7 	A3F9QBUALMKO1 	This sentiment was reflected in his poems and songs.
1529_8 	A3F9QBUALMKO1 	His entry with fire viol in hand&#44; his revelation like a comet.
1529_9 	A2HFASY1SVXPSP 	His poetry and nationalist activism earned him the popular title of Bidrohi Kobi (Rebel Poet).
1570_0 	A2JPXAF2MC24F7 	Islam (Arabic:  Al-Islam) is a religion centered around only one god.
1570_1 	A16IVTYAYSV3SA 	The word &quot;Islam&quot; stands for &quot;Self-dedication&quot; or the act of complete surrender of oneself to a single creator (God).
1570_2 	A16IVTYAYSV3SA 	This religion was being preached by Muhammad (Shah)&#44; the religious and political leader of Arab of the 7th century AD.
1570_3 	ADC8VBKOVOCRR 	Quran is the main religious text of Islam.
1570_4 	A3F9QBUALMKO1 	The followers of this religion are called Musalman or Muslim.
1570_5 	A16IVTYAYSV3SA 	The Muslims believe that the Quran is the sermon of the Allah and which was passed over to Muhammad by Himself.
1570_7 	ADC8VBKOVOCRR 	Quran is explained on the basis of his directed work and education received in Hadis .
1570_8 	A16IVTYAYSV3SA 	Judaism and Christianity are also the Abrahamic religions like the Islam.
1570_9 	A16IVTYAYSV3SA 	The approximate number of the Muslims is 140 crores and they are the second largest religious community.
2099_2 	A2HFASY1SVXPSP 	A complex number can be visually represented as a pair of numbers forming a vector on a diagram called an Argand diagram&#44; representing the complex plane.
2099_3 	A1ZAA9FM3OEIK5 	Here&#44; the vector (a&#44;b) is indicating the complex number a+ib.
2099_4 	A1ZAA9FM3OEIK5 	In mathematics&#44; a complex number is regarded as a mathematical extension of a real number.
2099_6 	A2WEPQZ7UNOYYF 	Defined by the lower equation:
2099_7 	A1ZAA9FM3OEIK5 	Every complex number can be written in this form where a and b are real numbers.
2099_8 	AAF85ZPWB65DY 	For a complex number a and b is known as the real and imaginary part respectively.
2099_9 	ADC8VBKOVOCRR 	The complex numbers create a field.
2324_3 	A3F9QBUALMKO1 	Ubuntu (Linux distribution)
2324_4 	A2HFASY1SVXPSP 	Linux( also pronounced /lnks/ LIN-ooks) is a computer operating system.
2324_5 	A31II4QBW2DURA 	The kernel or the root operating system of Linux also is called Linux
2324_7 	A3F9QBUALMKO1 	Linux is different in many ways from other licenses protected operating systems like Windows and Mac OS.
2324_8 	A3F9QBUALMKO1 	The underlying source code of Linux can be used&#44; freely modified&#44; and redistributed by anybody.
2324_9 	A31II4QBW2DURA 	Strictly speaking Linux means only Linux Kernel.
2352_0 	A28YA9BQFLXOPT 	Wiki means (according to Ward Cunningham&#39;s opinion) a type of website which can be created very easily and very fast&#44; and a place where anybody can give contribution.
2352_1 	A16IVTYAYSV3SA 	The word Wiki has its origin from the Hawaiian language wiki-wiki&#44; which means &#39;to run fast&#39;.
2352_2 	A2JPXAF2MC24F7 	In other words&#44; &#39;Wiki&#39; is such a software that functions through the collaboration of many people.
2352_3 	A2JPXAF2MC24F7 	Particularly it is used for the website.
2352_5 	A2JPXAF2MC24F7 	Subject: Software
2457_2 	A2HFASY1SVXPSP 	First generation server of Google was made of cheap computers which are available in the market.
2457_3 	A2LG0SJYIUIRNC 	Google AdSense is the biggest browsing engine.
2457_4 	A28YA9BQFLXOPT 	The aim of Google is &quot;To collect all the information on this world and then to make it available for the common people.
2457_6 	A2HFASY1SVXPSP 	Category: Internet search engine
2459_0 	A31II4QBW2DURA 	(2nd May&#44; 1921 - 23rd April&#44; 1992)An Indian film maker and one of the greatest film directors of the 20th century.
2459_1 	A3F9QBUALMKO1 	He was born into a Kolkata&#39;s Bengali family well-known in the world of art and literature.
2459_2 	A16IVTYAYSV3SA 	He studied in the Presidency college of Calcutta and in the Viswabharati University of Shantiniketan founded by Rabindranath Tagore.
2459_3 	A31II4QBW2DURA 	Though the career of Satyajit Roy started as a commercial film maker&#44; he was inspired for film making after he met the French film maker Jean Renoir in Kolkata and later on when he saw the Italian new age realistic  Italian film &quot;Ladri di biceclette&quot; while he was travelling to London.
2459_4 	A31II4QBW2DURA 	As a film maker Satyajit was multi faceted and his number of works is huge.
2459_5 	A16IVTYAYSV3SA 	He made made 37 full-length movies&#44; documentaries and short-length movies altogether.
2459_6 	A16IVTYAYSV3SA 	His first film &#39;Pather Panchali&#39; got 11 international accolades of which the most important one was the award of &#39;Best Human Document&#39; from the Cannes Film Festival of France.
2459_7 	A31II4QBW2DURA 	&quot;Pather Panchali&quot;&#44; &quot;Aparijito&quot; and &quot;Apur Sansar&quot; -these three films are together known as &quot; Apu troyee&quot; and these three films  are considered to be the best of his works  or &quot;Magnum Opus&quot;
2459_8 	A2HFASY1SVXPSP 	Ray did the scripting&#44; casting&#44; scoring&#44; cinematography&#44; art direction&#44; editing and designed his own credit titles and publicity material.
2548_0 	A16IVTYAYSV3SA 	&#39;Dainik Pratham Alo&#39; (The First Light Daily) is a daily news paper published from Bangladesh.
2548_1 	A3PSUT241Y12MZ 	This news paper was first published on November 4&#44;1998.
2548_2 	A3F9QBUALMKO1 	Before the tagline of this magazine was Ja kichu bhalo tar songe Pratham alo (The Prothom Alo is with the good)&quot;&#44; later it was changed to &quot;Bodle Jao&#44; Bodle Dao (change yourself&#44; change others)&quot;.
2548_3 	A3PSUT241Y12MZ 	Matiur Rahman&#44;recipient of  Ramon Megsesai award&#44;is the editor and publisher of this paper.
2548_4 	A3F9QBUALMKO1 	Daily classifieds
2548_5 	A3F9QBUALMKO1 	Daily classifieds of Prothom Alo included- News&#44; Editorials&#44; whole country&#44; Greater Bengal&#44; Whole world&#44; Sports&#44; Entertainment&#44; Education&#44; Computer Daily&#44; Letters.
2548_7 	A3F9QBUALMKO1 	Apart from these&#44; there are &#39;Dhakai Thaki&#39; for Dhaka readers&#44; &#39;Alokito Chittagong&#39; for Chittagong readers&#44; &#39;Alokito Uttar&#39; for the readers of northern region&#44;&#39;Alokito Dakhshin&#39; for the readers of southern region and different regional classifieds named &#39;Alokito Sylhet&#39;.
2548_8 	AKZBNT298EBKI 	Besides presenting news&#44; Prothom Alo is also involved in various social activities.
2548_9 	AKZBNT298EBKI 	Among them are &#39;Prevent Acid Terrorism&#39;&#44; &#39;Anti Drug Movement&#39; and other various arrangements.
2636_0 	A2JPXAF2MC24F7 	Java is a programming language.
2636_1 	A1ZAA9FM3OEIK5 	Soon after getting introduced by Sun Microsystem in early 90s&#44; it rapidly became one of the most popular programming language around the world.
2636_3 	A16IVTYAYSV3SA 	The Important Aspects of Java
2636_5 	A1ZAA9FM3OEIK5 	Pre-Java programming languages were usually written for a specific operating system and were not compatible with any other operating system.
2636_6 	A1ZAA9FM3OEIK5 	Programming written in Java can be run on any operating system provided there is a runtime environment available for that particular operating system.
2636_7 	A3F9QBUALMKO1 	This advantage made Java a unique platform.
2636_8 	A1ZAA9FM3OEIK5 	Especially on the internet&#44; where numerous computers are connected and are using different operating systems&#44;applets written in Java can run on all of them and does not require any special action.
2636_9 	A1ZAA9FM3OEIK5 	This advantage of Java is called portability.
2642_0 	A3F9QBUALMKO1 	Taslima Nasrin (birth: 25th August&#44; 1962) is a controversial feminist author of Bangladesh.
2642_1 	A2HFASY1SVXPSP 	She studied medicine at the Mymensingh Medical College and graduated in 1984 with an MBBS degree.
2642_2 	A2HFASY1SVXPSP 	She worked in a government hospital as a physician till 1994.
2642_3 	A3F9QBUALMKO1 	Later she took up literature as her profession.
2642_5 	A2HFASY1SVXPSP 	she rose to global fame by the end of the 20th century owing to her feminist views and her criticism of Islam in particular and of religion in general.
2642_6 	A3F9QBUALMKO1 	As a result she was compelled to leave the country in 1994.
2642_7 	A2HFASY1SVXPSP 	Later she lived in exile in many countries at different period of times.
2642_8 	A3F9QBUALMKO1 	After being exiled she wanted to stay in the neighbour country&#44; Bengali speaking west Bengal.
2642_9 	A16IVTYAYSV3SA 	But due to the remonstration of the Islamic religious leaders and the life threat from the fundamentalists&#44; she had to leave Calcutta in 2008.
2730_0 	A2LG0SJYIUIRNC 	Kolkata(old name&quot;Calcutta) is the capital of West Bengal&#44; main business center and largest city.
2730_1 	A2LG0SJYIUIRNC 	This city is near Hooghly river and more than fifty thousand people live here.
2730_2 	A16IVTYAYSV3SA 	But the population of the greater Calcutta comprising with Calcutta itself and certain parts of the surrounding districts&#44; is nearly 10.4 million.
2730_3 	A2LG0SJYIUIRNC 	According to the population Kolkata is India&#39;s fourth largest city and third largest area under municipality and eighth largest municipality area in the world.
