787_0 	A15YKQU4TT7169 	Andhra pradesh is a state in india.
1149_6 	A1GEUMI28IQ2PS 	The operating system was first released in 1999 as Mac OS X Server 1.0&#44; with a desktop-oriented version (Mac OS X v10.0) following in March 2001. Since then&#44; six more distinct &quot;client&quot; and &quot;server&quot; editions of Mac OS X have been released&#44; the most recent being Mac OS X v10.6&#44; which was first made available on August 28&#44; 2009. Releases of Mac OS X are named after big cats; the current version of Mac OS X is &quot;Snow Leopard&quot;.  The server edition&#44; Mac OS X Server&#44; is architecturally identical to its desktop counterpart but usually runs on Apple&#39;s line of Macintosh server hardware. Mac OS X Server includes work group management and administration software tools that provide simplified access to key network services&#44; including a mail transfer agent&#44; a Samba server&#44; an LDAP server&#44; a domain name server&#44; and others.
1149_7 	A3J1PP96QX14U0 	(users interface is done by the system  else there will be a lot of questions
1149_9 	A1GEUMI28IQ2PS 	Embedded systems that have fixed deadlines use a real-time operating system such as VxWorks&#44; PikeOS&#44; eCos&#44; QNX&#44; MontaVista Linux and RTLinux. Windows CE is a real-time operating system that shares similar APIs to desktop Windows but shares none of desktop Windows&#39; codebase[citation needed]. Symbian OS also has an RTOS kernel (EKA2) starting with version 8.0b.  Some embedded systems use operating systems such as Palm OS&#44; BSD&#44; and GNU/Linux&#44; although such operating systems do not support real-time computing.
1152_1 	ADMENGADDLNDK 	The great poet Sri Sri ruled the Telugu literature in the twentieth century.
1152_2 	A2VAQFXBLP1HAF 	Srirangam SrinivasaRao is popularly known as SriSri
1152_4 	AI5E50BGAUZH2 	Sri Sri is a rational person and an athiest.
1152_5 	AI5E50BGAUZH2 	Sri sri was universally accepted as a great poet.
1152_6 	ADMENGADDLNDK 	The poems that he created!
1152_9 	AH5BVSXF5DYYD 	This made him to reach the top of literacy world..
1201_1 	A3RS82XNENF2NT 	For trees&#44;animals&#44;humans to grow and survive on the earth&#44;water is the second most important factor reqired next to air
1201_2 	A1Z53763UXALP 	The challenge faced by many countries around the world is of providing safe drinking water for its villages and cities.
1201_3 	A1Z53763UXALP 	Irrigational water facilites are very important for agriculture.
1201_4 	A1Z53763UXALP 	No industry can be established and run without proper water supply.
1201_6 	A1Z53763UXALP 	The purest water available in nature is rain water.
1201_8 	A1Z53763UXALP 	There are many usages for the word water in Telugu.
1257_0 	A3J1PP96QX14U0 	Krishna Veni mother on the Prakasam bridge
1257_2 	AI5E50BGAUZH2 	In Coastal Andhra region&#44; this city is the main trade centre and is located on the banks of the Krishna river in the Krishna District.
1257_3 	AI5E50BGAUZH2 	Vijayawada comes along the Chennai-Howrah and Chennai-Delhi route.
1257_4 	AI5E50BGAUZH2 	Vijayawada Junction is the largest junction in the South Central Railway.
1257_5 	A3J1PP96QX14U0 	Vijayawada&#39;s railway junction is one of the biggest in India
1257_7 	AI5E50BGAUZH2 	The other name for Godess Kanaka Durga is Vijaya (Vijaya vatika) hence the present name Vijayawada is derived from it.
1257_8 	AI5E50BGAUZH2 	Vijayawada is also called as &#39;Vidyala-wada&#39;&#44; because of the presence of many Corparate Educational Institutions.
1257_9 	AI5E50BGAUZH2 	It seems&#44; by experiencing the blistering sun during summers in Vijayawada Kattamanchi Ramalinga Reddy said&#44; &quot; this is not Bezawada it is Blazewada&quot;.
1294_1 	AH5BVSXF5DYYD 	According to the area seventh in the world
1294_2 	A3T1KZYNIUW9IN 	From last the two decades there is a great significance for india .
1294_3 	A3T1KZYNIUW9IN 	As per the gross domestic product of Indian economy (purchasing power parity)is in 4th position.
1294_4 	A3T1KZYNIUW9IN 	it is one among the fastest developing economy.
1294_6 	A3T1KZYNIUW9IN 	India is  has more than 7000 k.m coastel area along the country and it is on the commercial and historical roadways.
1294_7 	A3T1KZYNIUW9IN 	It shares borders with china&#44;mayanmar&#44;bangladesh&#44;nepal bhutan and afghanisthan.
1294_8 	A2TKVMEO33HP06 	sri lanka&#44;maldivas and Indonesia are island countries near india
1294_9 	A2TKVMEO33HP06 	India is the birth place of the modern historian places and also for most important religions (Hindu religion&#44;Buddha religion&#44; Jain religion&#44;Sikh religion)these are born in India
1298_0 	A3S0F1GABMBS9P 	It is an essay about Mahabharata.
1298_1 	A3S0F1GABMBS9P 	The essay about the book written by the Three poets can be seen in Sri Madhandhra Mahabharata.
1298_2 	A28Y0H55DSZ3NX 	see the page of VISTHRUTHA in Bharatham.
1298_3 	A3S0F1GABMBS9P 	Mahabharata is an Indian epic which is considered as the fifth Veda.
1298_5 	A3RS82XNENF2NT 	with 18 parvas&#44;lakh slokas(74000 poems or 18 lakh words nearly)it stands as one of the biggest poetic book in the world
1298_6 	A3RS82XNENF2NT 	the book which was in sanskrit was translated into telugu by poet trio-nannayaa&#44;tikkana and yerranna(yerra pragada)
1298_7 	ADMENGADDLNDK 	Puranas say that when Vyasa dictated&#44; Vinayaka wrote this story.
1348_0 	A3QL2TAO2U5TM9 	As per Gregorian Calender or Gregorian Time Calculator&#44; 2004 is a leap year that starts with Thursday.
1348_2 	AE2CDTF7VQXCE 	May 14: Y.S.Rajashekar Reddy came into power as Chief Minister of Andhra Pradesh.
1348_3 	AE2CDTF7VQXCE 	May 22: Manmohan Singh became the Prime Minister of India
1348_4 	AE2CDTF7VQXCE 	June 4: Somanath Chatterjee became the speaker of Indian Parliament.
1348_5 	A3QL2TAO2U5TM9 	August 13: 28th Summer Olympics have started in Athens.
1348_8 	A3J1PP96QX14U0 	January 12: Karnataka&#39;a ex chief minister Ramkrishna Gowda
1348_9 	AE2CDTF7VQXCE 	February 26: Ex - Chief Minister of Maharastra Shankarrao Chavan
1359_0 	AH5BVSXF5DYYD 	Picture of Vishakapatnam city bay.
1359_1 	AH5BVSXF5DYYD 	Vishakapatnam(Vishaka&#44;VishakaPattannam&#44;Vijaz) is afamous city in Andhra Pradesh&#44;in India.
1359_2 	AI1HQO6HZCVT7 	Visakhaptanam&#44; province of visakhaptnam district in andhra pradesh state.
1359_7 	A3V7G0CFREWGTP 	The first city in Andhra Pradesh that attained the position of greater city.
1359_8 	A3V7G0CFREWGTP 	During the British times this city was also called Waltair.
1359_9 	A3V7G0CFREWGTP 	This city which is on the coast of Bay of Bengal&#44; has India&#39;s fourth biggest seashore and the oldest shipyard in India.
1395_0 	A3S0F1GABMBS9P 	Hyderabad is the Capital city of Andhra pradesh.
1395_1 	AI5E50BGAUZH2 	It is also called Bhagyanagaram.
1395_2 	AI5E50BGAUZH2 	The city of Hyderabad is famous for its rich cultural heritage&#44; history&#44; monuments&#44; masjids&#44; temples&#44; sculpted arts&#44; handicrafts and dance.
1395_4 	AI5E50BGAUZH2 	Not only that&#44; if we include the surrounding municipalities of Hyderabad&#44; it will in the 41st position among the metropolitan cities in the world.
1395_5 	A3S0F1GABMBS9P 	Hyderabad is one of the most developed cities in India&#44; and famous for the software field.
1395_6 	A3QL2TAO2U5TM9 	Hyderabad and Secunderabad are well known as Twin cities.
1395_7 	AI5E50BGAUZH2 	Hussain sagar divides these two cities and tankbund connects them.
1395_9 	A1Z53763UXALP 	In 1591 Mohammad Quli Qutub Shah built Charminar in middle of Hyderabad as symbol of the ending of plague epidemic.
1473_0 	AI5E50BGAUZH2 	Internet is a system that connects computers worldwide.
1473_1 	APDEI7F51RYRG 	To explain clearly Internet is a network which connects networks.
1473_2 	AI5E50BGAUZH2 	To enable communications between computers in this system&#44; a standard called internet protocol is used.
1473_4 	A1RAFJLFW2X2V6 	Internet is called as antharjalam in telugu.
1473_5 	AQYOCSW5ZRN3N 	Right thumb&#44;we can add different places through internet
1473_7 	A1RAFJLFW2X2V6 	The english word internet is being used in telugu.
1473_9 	A1RAFJLFW2X2V6 	Internet is one of the words among them.
1474_2 	A15YKQU4TT7169 	Blog is a normal web page&#44;but the posts written in it will be  in the order of dates.The blogs written at last are at first.
1474_3 	A15YKQU4TT7169 	The blogs have extended through the writings of many scholars  that are from personal diaries to political advertisements&#44;many differernt programmes to many big companies&#44;frequently wtiters.
1474_4 	A3RS82XNENF2NT 	most blogs allows viewers to write opinions
1474_5 	AN9IFNKPF7N1I 	One readers group is arranged to the center of the blog&#44; the remaining people only read and then write.
1474_7 	A3RS82XNENF2NT 	if there are any disputes in the blogs regarding one thing or any issue&#44;they are called blog wars or blog cyclones
1474_8 	A3RS82XNENF2NT 	blogs are in different types
1474_9 	A3RS82XNENF2NT 	normally there are viewers opinions&#44;ratings&#44;posts summary in hyperlinks arranged in the form of a  bullet list
1487_1 	AQYLTGQE4K8FV 	Andhra Pradesh state is mainly divided into three divisions out of which Telangana is one part and the other two parts are kostha andhra(also called as andhra or sarkar)and rayalaseema.
1487_2 	AQYLTGQE4K8FV 	These divisions were made on the basis of differences of climatic and cultural heritages.
1487_3 	AQYLTGQE4K8FV 	The present Telangana region was under the reign of nizam and due to some reason he gave some part of his kingdom to the British and the remaining is the andhra region.
1487_4 	AQYLTGQE4K8FV 	The present Telangana region consists of 10 districts.
1487_6 	AQYLTGQE4K8FV 	The No.7 national highway which runs over the 10 districts of Telangana which is one of the longest and the no.9 national highway runs through this region too.
1487_7 	A2SUFIYSQCMJ5T 	Hyderabad-Hadi&#44; Secunderabad-Kajipet&#44; Secunderabad-Vijayawada&#44; Secunderabad-Done&#44; Vikarabad-Parbhani&#44; Kajipet-Balarsh are the railway paths goes through this Telengana province.
1487_8 	AQYLTGQE4K8FV 	Sinkindrabad&#44;Kajipet railway junctions are some of the important junctions of south central railway.
1530_0 	AI5E50BGAUZH2 	People&#39;s Republic of China (PRC; ) which simple called China&#44; is the largest country in East Asia&#44; and is one among the largest countries in the world.
1530_1 	A3J1PP96QX14U0 	The population of china is more than 1.3 billion and this is one of the biggest populated countries
1530_4 	AI5E50BGAUZH2 	composed of boxes.. lines.. figures&#44; China language appears amazing and complex.
1530_5 	A1UX3BQYCDI1ZV 	Chinese language is known as &#39;Mandarin&#39;.
1530_6 	A2M3NIA5MQX8G3 	According to their dictionary 56000 symbols are there.
1530_8 	A1UX3BQYCDI1ZV 	If these are known then 99 percent of Chinese language is known.
1530_9 	AI5E50BGAUZH2 	One has to draw a minimum of 1 to a maximum of 64 lines to write Chinese characters.
1549_2 	A3S0F1GABMBS9P 	After the Independence&#44; On January 26&#44; 1950&#44; when the Indian constitution was implemented Madaras Presidency has changed into Madras State.
1549_3 	A3S0F1GABMBS9P 	On October 1st 1953&#44; Coastal area nad Rrayalaseema were separated form Madras and were formed as Andhra State.
1549_4 	A3S0F1GABMBS9P 	For the list of Chief Ministers of Madras Presidency and Madras state refer Chief Ministers of Tamilnadu state.
1549_7 	ADMENGADDLNDK 	After independence&#44; when Indian government took action with police force on the Nizam Samsthan&#44; these areas formed as the Hyderabad state.
1549_8 	ADMENGADDLNDK 	On November 1&#44; 1956&#44; the Telugu speaking areas in Hyderabad state were separated and joined with Andhra state forming the Andhra Pradesh.
1684_0 	A1Z53763UXALP 	Russian Federation or Russia is a country which spans in Northern Asia and Eastern Europe.
1684_1 	A1Z53763UXALP 	In area Russia is twice as large a Canada&#44; the second largest country.
1684_3 	A9S6WLEVWHI1T 	Neighbouring countries to Russia ( in ati-clockwise direction):Norway&#44; Finland&#44; Asotina&#44;Latvia&#44; Lithuania&#44; Poland&#44; Belarus&#44; Ukraine&#44;Geogia&#44;Kazakastan&#44;China&#44;Mangolia &amp; North Korea
1684_4 	AN9IFNKPF7N1I 	Unites states of America and Japan also nearest countries to Russia.
1684_5 	A9S6WLEVWHI1T 	While Bearing Strait divides Russia from USA &#44; La-veroise strait seperate Russia from Japan.
1684_6 	A9S6WLEVWHI1T 	When USSR (Union of Soviet Socialist Republics)which was a powerful republic in the past got disintergrated in December 1991&#44; Russia became an independent country.
1684_8 	A9S6WLEVWHI1T 	In the era of USSR&#44; Russia was called Russian Soviet Federation Socialist Republics ( RSFSR)
1684_9 	A9S6WLEVWHI1T 	Soviet Union&#39;s most territory&#44;population and industrial production were merged into Russia which was one among the two world powersatthat time.
1687_0 	A1Z53763UXALP 	For Andhra people Rice is the staple food.
1687_1 	AI5E50BGAUZH2 	In India&#44; Andhra Pradesh is in second position in rice production after West Bengal.
1687_2 	A3S0F1GABMBS9P 	Normally all Andhra foods are made using rice.
1687_6 	AMKGJUEEY6ZCH 	Pickle- Brinzal(chilli mango pickle) and Hibiscus Cannabinus leaves pickle&#44; these are some examples.
1687_7 	AMKGJUEEY6ZCH 	Dal mixed with rice will be eaten.
1687_9 	A3J1PP96QX14U0 	Rasam (Sambar without any vegetables)
1755_0 	A3J1PP96QX14U0 	As per Gregorian calender 2005 is a normal year
1755_2 	AI5E50BGAUZH2 	May 17: The Kuwait women were given the right to vote.
1755_3 	AI5E50BGAUZH2 	July 6: London is declared as stage for 2012 summer Olympic Games.
1755_5 	A3S0F1GABMBS9P 	August 1: King of Saudi Arabia Fahd died.
1755_6 	A3S0F1GABMBS9P 	October 13:Veselin Topalov won the FIDE World Chess Championship.
1762_1 	ADMENGADDLNDK 	In many practices&#44; it is a common practice to worship Ganapathi before starting any work or worship.
1762_2 	A73Y2X63TUTUU 	hindusim or hindu dharmam is the spritual tradition born in india.
1762_3 	ADMENGADDLNDK 	This is what is referred to as &#39;Sanathana Dharma&#39; at times.
1762_4 	A3JM492U7XWDA4 	Hinduism and it&#39;s origins belongs to the Vedic Civilization.
1762_6 	A3JM492U7XWDA4 	There were no evidences that Hinduism was founded by a particular individual.
1762_7 	ADMENGADDLNDK 	It is the third biggest religion in the world after Islam and Christianity.
1762_8 	ADMENGADDLNDK 	In an approximate population of one Billion Hindus&#44; 905 million live in India and Nepal.
1762_9 	ADMENGADDLNDK 	Apart from these&#44; Hindus are mainly seen in Bangladesh&#44; Sri Lanka&#44; Malaysia&#44; Indonesia&#44; Singapore&#44; Mauritius&#44; Fiji&#44; Surisam&#44; Gayana&#44; Trinidad and Tubago.
2475_1 	A2M3NIA5MQX8G3 	The most popular actor ramarao act in 302 movies total Telugu &#44; Tamil &#44; Hindi.
2475_2 	A3RS82XNENF2NT 	not limited his talent to acting itself&#44;he produced many films and also directed many
2475_3 	A3RS82XNENF2NT 	he who is called viswava vikhyatha nata sarvabhouma acted in many different characters in social&#44;folk movies and got respect and acted as rama&#44;krishna and other mythological roles and permanently settled in the hearts of telugu people
2475_4 	A2M3NIA5MQX8G3 	He established a political party &quot;telugudesam&quot; in 1982.
2475_6 	AMKGJUEEY6ZCH 	After that he ruled andhra pradesh for 8 years as chief minister&#44; at that time he was the only person who worked more years as chief minister.
2475_8 	A2M3NIA5MQX8G3 	He born on 28th may 1923 at evening 4:32 at andras krishna district nimakuru village to lakshmama chowdary and venkataramam.
2475_9 	AMKGJUEEY6ZCH 	First they kept name as Krishna&#44; after that his grand father suggested as taraka ramudu will suits well&#44; so they called him with that name.
2578_1 	AI1HQO6HZCVT7 	76 days left till the end of the year.
2578_3 	A1Z53763UXALP 	1953: Laos got independence from France
2578_4 	A1Z53763UXALP 	1960: Mali got independence from France.
2578_6 	A1Z53763UXALP 	1975: Soviet&#39;s human less Space mission Venera 9 lands on Mars.
2578_7 	AI1HQO6HZCVT7 	1981: TGP train service started between Paris-Lios
2578_8 	A1Z53763UXALP 	2008: Indias first humanless moon mission Chandrayaan-1 launched.
2938_1 	AMKGJUEEY6ZCH 	Complete study of Bhagavadhgeeta is available in source of wiki.
2938_2 	AMKGJUEEY6ZCH 	Each and every poem in Bhagavadhgeeta is available in telugu in wiki sources: Bhagavadhgeeta( Telugu translated)
2938_3 	A3RS82XNENF2NT 	the picture of telling geetha is people&#39;s favourite
2938_5 	AMKGJUEEY6ZCH 	From the Mahabaratha sacred book Bheeshma parvam starting from reading number 25 to reading number 42 it is said to be Bhagavadhgeeta and it is of total 18 parts.
2938_6 	AMKGJUEEY6ZCH 	But Bhagavadhgeeta is said to be a Apocryphal book.
2938_7 	AMKGJUEEY6ZCH 	Hindus believe and worship it as one of the holy apocryphal book because it is directly narrated by Lord Krishna.
2938_8 	A10WWCR8CVY4CH 	Bhagavathgita consists of Vedas &#44; Vedanthas&#44; Yogas
3315_0 	A8VHPYIT5L7EA 	Microsoft corporation is the largest company in the world.
3315_2 	A15YKQU4TT7169 	This company was started in 1975 by two friends bill gates and hall allen having it&#39;s head office in redmond city of washington state in united states of america.
3315_3 	A2M3NIA5MQX8G3 	This company help with providing license and help and develop software for different computers.
3315_4 	A15YKQU4TT7169 	The softwares microsoft windows operating system and microsoft office are very famous and popular software products.
3315_5 	A15YKQU4TT7169 	These two softwares have most of the share of desktop computers.
3315_7 	A31PUL91ZMCDBU 	right|thumb|microsoft redmod office consists of 80 lakhs square feet  (750&#44;000 mts) and about 28&#44;000 people work here
3315_8 	AN9IFNKPF7N1I 	This symbol is the first symbol of that campus.
3315_9 	A15YKQU4TT7169 	The later version of windows operating system windows vista   was released in 2006.
3418_0 	A3V7G0CFREWGTP 	Indian history began 34&#44;000 years ago&#44; from the period of Homo sapiens.
3418_1 	A3V7G0CFREWGTP 	Indian history means the history of the Indian sub continent that includes India&#44; Pakistan&#44; Bangladesh&#44; Shrilanka&#44; Nepal and Bhutan.
3418_2 	A19ESYNYEAABIB 	There was a period called Stone age.
3418_3 	A3V7G0CFREWGTP 	Stone-color paintings in Bhimbetac.
3418_5 	A3V7G0CFREWGTP 	Though the time of these excavations could not be determined exactly&#44; according to the archeologists&#44; it is understood that they belong to time at least two to seven lakhs of years ago.
3418_6 	AE9QK78PC9KRL 	These are the first sculptures of human beings which were found in south Asia.
3418_7 	A3V7G0CFREWGTP 	Recently some remains were found in a quarry in Kaladgi area in the south India.
3418_8 	A3V7G0CFREWGTP 	From this it can be known that man of modern age had been living in this region from the latter Snow age from 12&#44;000 years.
3488_0 	A1Z53763UXALP 	Andhra Pradesh&#39;s or Telugu country&#39;s history can be divided into two parts&#44; Prehistoric and Historic.
3488_1 	AI5E50BGAUZH2 	Written proofs are not availble for the prehistoric period.
3488_3 	A2M3NIA5MQX8G3 	The age from BC 3rd century to modern age is called historical age.
3488_4 	A3RS82XNENF2NT 	this age is again divided into three periods namely ancient period&#44;medieval period and modern period
3488_5 	A3V7G0CFREWGTP 	Medieval Age is again divided into Early Medieval age (the age of Kakatiyas) and Later Medieval age(the age of Vijayanagara kingdom).
3488_9 	A3V7G0CFREWGTP 	8000-Ancient stone age- the tools of this age were found in Kadapa&#44; Kurnool&#44; Guntur&#44; Nellure&#44; ananthapur&#44; Nalgonda and Karimnagar districts.
3581_0 	A3J1PP96QX14U0 	Shri Krishna Deva Raya&#39;s statue on the Hyderabad Tank bund
3581_3 	A1Z53763UXALP 	The empire reached its utmost highest under his rule.
3581_4 	A1Z53763UXALP 	Telugu and Kannada people treat Krishnadevaraya as one of the greatest kings who ruled India.
3581_5 	A1Z53763UXALP 	In literature he is praised as Andhra Bhoja and Kannada Rajya Rama Ramana.
3581_6 	A1Z53763UXALP 	Details of his rule are known from the writings of Portugese travelers like Domingo Ves and Nyuniz.
3581_8 	A1Z53763UXALP 	Thimmarasu has helped Krishnadevaraya in acending the throne.
3581_9 	A1Z53763UXALP 	Krishnadeverya used to consider Thimmarasu as his father.
3622_0 	AI5E50BGAUZH2 	December 26&#44; 360th day in the year according to Gergorian calendar (361st day in leap year)
3622_1 	A3DU2EWFUGQCX4 	There are 5 days remaining for the year end.
3622_3 	AI5E50BGAUZH2 	2004: Because of earth quake in Indian ocean&#44; it resulted in Tsunami.
3622_5 	A2M3NIA5MQX8G3 	2009: Andhra Pradesh Governor Narayan Dutt Tiwari resigned from the post.
3657_0 	A3RS82XNENF2NT 	according to gregorian calender november11 is the year&#39;s 254 th day(255th day in leap year)
3657_5 	A2M3NIA5MQX8G3 	1911: Indian cricket former captain was Lala Amaranth.
3657_8 	A1E2Q8FM3KX93I 	Festivals and national holidays
3686_0 	A3V7G0CFREWGTP 	April 30th&#44; according to Gregorian calendar is 120th day in a year(121st day in a leap year)
3686_3 	A1WCVMMFKMAB0C 	1946: Tanguturi Praksam Panthulu has taken   oath as Chief Minister of Madras Presidency.
3686_5 	A3V7G0CFREWGTP 	1901: famous economist Simon Kuznets
3686_9 	A10WWCR8CVY4CH 	Festival and National holidays
4044_0 	A3DU2EWFUGQCX4 	This is the normal year of 2001 Gregorian calender.
4044_2 	A8VHPYIT5L7EA 	December 13: Six police men and one gardener were killed during the parliament attack by five terrorists.
4044_3 	A8VHPYIT5L7EA 	All the terrorists were shot dead by Indian security force.
4044_4 	AVWWDENWU115I 	They were all identified as Pakistanis.
4044_7 	A8VHPYIT5L7EA 	February 9: Famous economist and Noble prize winner Herbert Simon.
4044_8 	A1WCVMMFKMAB0C 	February 25: Donald Broadman&#44; Australian  cricket player.
4044_9 	AVWWDENWU115I 	May 13: R.K.Narayan&#44; India&#39;s famous English Novelist.
4046_2 	AI1HQO6HZCVT7 	2003: american space shuttle columbia burned on its return journey to earth from space
4046_3 	A1G9LNGGD9IP1X 	Among the 7 people who died in this incident&#44; Kalpana chawla belongs to India.
4046_4 	A2M3NIA5MQX8G3 	On February 20th : the 13th All countries meeting were started in Kolhapur.
4046_8 	AH89E958S7NST 	January 18: Famous Hindi writer Harivanshrai Bachchan
