54_0 	AVWWDENWU115I 	See Hindi&#39;s entrance door also:
54_59 	A9YS2FWO4UV7G 	7. Hindi has got the inheritance of rich vocabulary and the power of coining words from Sanskrit.
54_60 	A9YS2FWO4UV7G 	It does not hesitate to adapt the words from its dialects and from other regional languages.
54_62 	A3T5285F7WI9HT 	8.There are more that 50 million people who speak and understand Hindi .
54_63 	A3I17NEOCU7A28 	9.Hindi literature is rich in all aspects.
54_64 	A9YS2FWO4UV7G 	10. Hindi relates to the common people and common people relate to Hindi.
54_65 	A3T5285F7WI9HT 	Hindi was never dependent on any royalty.
54_67 	A2HYN509OGM53T 	12. Communication language of India.
54_68 	A3M58JENI5651B 	13. The Official Language of India.
54_69 	A3M58JENI5651B 	The other characteristic of the evolution of Hindi.
54_70 	A2HYN509OGM53T 	The beginning of Hindi journalism occurred in those parts of India which were/are not Hindi speaking like Kolkatta&#44; Lahore etc.
54_72 	A3P2WQO8VESWF2 	The story of Hindi journalism is the story of Indian Nationalism.
54_73 	A3P2WQO8VESWF2 	In the development of Hindi politics had no place&#44; in the opposite&#44; the most speedy development of Hindi took place at that period when Hindi was vociferously opposing English rule
54_74 	A3P2WQO8VESWF2 	Whenever pressure was applied on Hindi&#44; it came up being more strong.
54_75 	A3M58JENI5651B 	When The native languages of &#39;Bengal&#39;&#44; &#39;Orissa&#39; and &#39;Maharashtra&#39; had became the official &amp; Judiciary languages in respective states&#44; in that same time &quot;Hindustani&quot; (which was actually Urdu Language written in Persian Script) was the official language of United Province (Now called Uttar Pradesh).
54_77 	A3I17NEOCU7A28 	But it was the national language of India until middle of 20th century.
54_78 	A3I17NEOCU7A28 	In the beginning&#44; it was the important contribution of saints and religious leaders in developing Hindi.
54_79 	A112IE8PQYXT3Q 	After this Hindi journalism and freedom struggle provided much help; after that Mumbai films provided help and now due to electronic media (TV) there has been an increase in the number of people who read or write Hindi.
54_82 	A112IE8PQYXT3Q 	Standardization of Hindi grammar.
54_84 	A3I17NEOCU7A28 	Standardization of Devnagari by Central Hindi Directorate on instruction from Education ministry.
54_85 	A112IE8PQYXT3Q 	Efforts for standardization of scientific methods of writing Devanagari.
54_88 	A6VR1WVKIRSR3 	according to language experts there are 4 main styles in hindi
54_89 	AVWWDENWU115I 	classic Hindi - Hindi&#39;s mankikruth form&#44; whose scribe(script) is Devnagari|
54_90 	AVWWDENWU115I 	In this there are many sanskrit words&#44; which has taken the place of Pharsee and Arabic words|
54_92 	AVWWDENWU115I 	These days English words have also entered in (especially in spoken language)
54_93 	AVWWDENWU115I 	This is based on dialect&#44; which is spoken in Delhi and its surrounded areas|
54_94 	A1JNPLDD2U8VUC 	The southern Hindi is one spoken in Hyderabad and the places near Hyderabad.
54_95 	A1JNPLDD2U8VUC 	In this language the Farsi and Arab words are not of much importance.
54_97 	A3M58JENI5651B 	&#39;Urdu&#39;- A form of &#39;Hindi&#39; Language which is written in &quot;Persian-Arabic&quot; script instead of &#39;Devnagri&#39; Script.
54_98 	A3M58JENI5651B 	There are less words of the &quot;Sanscrit&quot; language and most of the words in this comes from &#39;Persian-Arabic&#39; language.
54_99 	AFD2H8FZGWTBE 	This is also based on modern Hindi language.
59_10 	A1DKOLR0AU5RPS 	There are many long rivers in India.
59_12 	A1DKOLR0AU5RPS 	Other long rivers are Sindhu&#44; Narmada&#44; Bhramaputra&#44;  Yamuna&#44; Godhavari&#44; Kaveri&#44; Krishna&#44; Chambal&#44; Sutlej  and Byaas.
59_13 	AZX0WRH12YUBH 	It is World&#39;s biggest Republic country.
59_14 	A1DKOLR0AU5RPS 	More than 300 languages are spoken here.
59_15 	A3NOO9K3CY1YU5 	It has nourished some of the oldest civilizations of the world - Indus Valley Civilization and ancient trade routes are inseparable parts of it.
59_17 	A12T8G7H6WN13A 	India is The  tenth largest economy in The World&#44; but its has made a lot of progress and claims to be the third or fourth largest economy in The World.
59_18 	A12T8G7H6WN13A 	In Terms of its geographic size India is the seventh largest country in The World.
59_19 	A2S1NJ34KB1OYI 	New delhi is the capital of India
59_20 	A2S1NJ34KB1OYI 	Other big cities of India are Mumbai(Bombay)&#44;Kolkota(calcutta)&#44;and Chennai (Madras)
59_23 	A12T8G7H6WN13A 	India has two official names. It is called Bharath in Hindi and India in English
59_24 	A1JNPLDD2U8VUC 	The name India has come from the Farsi name of the Sindhu river.
59_25 	A3T5285F7WI9HT 	The name Bharat is derived from the name of the legendary king Bharata whose story is given in  Bhagavad puran.
59_27 	A1ZYNAB4UPQ1UF 	Third name is Hindustan&#44; which is derived from Persian language &amp; means place of Hindus. This name is in use since mughal era. However it was seldom used &amp; it generally denoted only north India.
59_28 	A1ZYNAB4UPQ1UF 	Since Vedic era India was also known as Aryavart&#44; Jambudweep&#44; Ajanabhdesh.
59_29 	ATA8X60VC3SSB 	Long ago this country was also known as bird of gold.
59_33 	A1ESKJFDQUMBL4 	Bhimbetaka Caves from Madhya Pradesh of Stone age are proof of ancient human life in India.
59_34 	A1ZYNAB4UPQ1UF 	The first ever settlements of humans date 9000 years back.
59_35 	A1ZYNAB4UPQ1UF 	From these&#44; the Sindhu valley civilization emerged &amp; it was at its highest state of prosperity from 2600 b.c. to 1900 b.c.
59_36 	A1ZYNAB4UPQ1UF 	around 1600 b.c. Aryans came to India &amp; they founded the Vedic culture in Northen India.
59_38 	A3P2WQO8VESWF2 	But the theory of invasion of Aryans is now in controversy.
59_39 	A3P2WQO8VESWF2 	Some scholars have accepted that Aryans  were the permanent inhabitants of India and vedic history is about 75&#44;000 years old.
59_40 	A3P2WQO8VESWF2 	During this time Dravida civilisation was flourishing in South India.
59_41 	A1JNPLDD2U8VUC 	These two cast people started following one another culture and a mixed culture came to existence in India.
59_43 	A3P2WQO8VESWF2 	In the ancient dynasties of India&#44; Mourya kinddom of North India is mentionable&#44; whose great emperor Ashoka has a special place in world history.
59_44 	A3P2WQO8VESWF2 	From the beginning of 180 BC lot of invasions were there in middle Asia&#44; which resulted in the establishment of Yunani&#44;Saka&#44;Parthi and eventually Kushana dynasty.
59_45 	A1JNPLDD2U8VUC 	The later days of 3rd century when there was Gupta&#39;s Kingdom in India the time was referred as the &#39;Golden age&#39; for India.
59_46 	A1XFNYYDANY0VD 	In South India there were different rulers in different times such as Chalukya&#44; Cher&#44; Chol&#44; Pallav and Pandya.
59_48 	A1ZYNAB4UPQ1UF 	Satvahanaas &amp; Chalukyaas established their authority in central India.
59_49 	A2HYN509OGM53T 	Science&#44; Arts&#44; History&#44; Mathematics&#44; Astronomy&#44; Ancient technology&#44; Religion&#44; and Philosophy&#44; flourished during the rule of these kings.
59_50 	A3GTXOXRSE74WD 	In the beginning of the 12th century&#44; after the Islamic attacks on India&#44; most part of the northern and central India came under the rule of the Delhi Sultanate;and afterward&#44; most of the subcontinent under the Mughal dynasty.
59_51 	A3GTXOXRSE74WD 	In south India&#44;the Vijayanagar Empire became powerful.
59_53 	A3GTXOXRSE74WD 	After the brief occupation of the Mughals&#44; the Marathas reached the climax in the south and central India in the seventeenth century.
59_54 	A3GTXOXRSE74WD 	The power of the Sikhs increased in  the north west.
59_55 	A1ZYNAB4UPQ1UF 	In the middle of seventeenth century&#44; many countries in Europe like&#44; Portugal&#44; Holland&#44; France&#44; Britton which wanted to establish trade with India took advantage of the disarray in the country.
59_56 	A3GTXOXRSE74WD 	The English were able to stop people from other countries who were interested in trading  and were successful in  ruling the entire country till 1840.
59_60 	A3P2WQO8VESWF2 	Konark wheel- Situated in the Sun temple in Orissa constructed in 13 century&#44; this is one of the most famous historic places in the world.
59_61 	A2S1NJ34KB1OYI 	The begining of the 20 th century saw an educational revolution revolving in India due to the changing political scenario. This has led to a drastic change in the social and political aspects of the country
59_62 	A2GGFBEGFXJFRS 	In 1885 formation of Congress party gave the independence movement an official recognition.
59_63 	A2S1NJ34KB1OYI 	in the begining of 20th century&#44; freedom lovers were indulged in prolonged non violent struggle for independence under the leadership of Mahatma Gandhi&#44;who later bestowed with the honour as father of the nation.
59_65 	A3P2WQO8VESWF2 	Subsequently on 26 January 1950 Indian became a republic nation.
59_66 	A2GGFBEGFXJFRS 	Because India is a multi religion and multi caste nation&#44; many times it has to face the problems related with secularism and caste-ism.
59_67 	A2S1NJ34KB1OYI 	Regional violences and hatred were always there. In spite  of all these India stood firm on its values of democracy and secularism except for a small period from 1975 - 77 when prime minister Indira Ghandi declared emergency.
59_68 	A3P2WQO8VESWF2 	India has unresolved border issues with neighboring countries.
59_70 	A3NMRXYNBNFNUT 	Wars have taken place with China in 1962 as well as with Pakistan in 1947&#44; 1965&#44; 1971 and 1999.
59_71 	A3NMRXYNBNFNUT 	India is one the co-founders of the Non-Aligned Movement as well as United Nations Organization.
59_72 	A3NMRXYNBNFNUT 	India conducted its first nuclear test in 1974 and then conducted five further tests in 1998.
59_73 	A3NMRXYNBNFNUT 	The economic reforms that took place during the decade of the 1990s is the reason that India is regarded as a developing nation today.
59_75 	A3NMRXYNBNFNUT 	The Constitution of India declares India as a soverign&#44; socialist&#44; secular&#44; democratic republic.
59_76 	A3NMRXYNBNFNUT 	India is a democratic republic&#44; whose parliament consists of two houses and is based on the Westminister system.
59_77 	A3NMRXYNBNFNUT 	The governance is divided into three branches: The Judiciary&#44; the Legislative and the Executive.
59_78 	A3NMRXYNBNFNUT 	The President&#44; who is the also the head of the state&#44; mainly plays an advisory role.
59_80 	A23Y99P6PXHO5P 	He is also the Supreme Commander of the Indian Armed Forces.
59_81 	A2HYN509OGM53T 	President and Vice-President are elected for 5 years by a indirect voting process.
59_82 	AOG9H27586IOW 	Prime Minister is the Head of the Government; all the administrative powers are vested with him.
59_83 	AOG9H27586IOW 	He is chosen by the prescribed rule on attaining the majority in the Parliament by the coalition of political parties
59_85 	AOG9H27586IOW 	The Constitution has not provided for any Deputy Prime Minister&#44; but time and again this issue has been cropping up.
59_86 	A23Y99P6PXHO5P 	The ruling party is known as Parliament which has two houses - Upper house Rajya Sabha or Council of States and the Lower house Lok Sabha. In Rajya Sabha there are 245 members while in Lok Sabha there are 552 members.
59_87 	A23Y99P6PXHO5P 	The Members of the Rajya Sabha are elected for a term of 6 years by non-public voting while the members of Lok Sabha are elected by public voting for a term period of 5 years.
59_88 	AOG9H27586IOW 	All Indian citizens&#44; above 18 years of age are eligible to vote.
59_90 	A1JNPLDD2U8VUC 	Prime minister is the head of the Parliament
59_91 	A2OCN0KL27QMTP 	Every Minister has to be a member of Parliament.
59_92 	A2OCN0KL27QMTP 	The Working Committe is below the Executive.
59_93 	A2OCN0KL27QMTP 	In India the Supreme Court is the Head of Judiciary&#44; who is headed by a Judge.
59_95 	A2OCN0KL27QMTP 	India has 21 High Courts&#44; whose jurisdiction and responsibility is controlled by the Supreme Court.
59_96 	A2EQZRRITDQ59I 	Disputes between judiciary and the legislative are handled by the president.
74_14 	A1V6P1ZE6Q8YEW 	See the history of Sanskrit language for detailed knowledge.
74_15 	A1V6P1ZE6Q8YEW 	The most ancient form of Sanskrit is Vedic Sanskrit which is the language of the main volume of Hindu religion&#44; Veda.
74_16 	A1V6P1ZE6Q8YEW 	Most people believe Panini&#39;s Ashtadhyaya to be the start of Sanskrit poetry.
74_17 	A1V6P1ZE6Q8YEW 	Ramayana&#44; Mahabharata and Puranas are written in poetic Sanskrit.
74_19 	A1NKIYEHUEU6NE 	The grammar of Sanskrit language is extremely refined and scientific.
74_20 	AVWWDENWU115I 	Since ancient times itself grammarians have written a lot about Sanskrit&#39;s grammar|
74_21 	A2GGFBEGFXJFRS 	But Panini&#39;s work on Sanskrit grammar is most famous.
74_22 	A1NKIYEHUEU6NE 	His Eight-Chapter Book is the oldest scripture of grammar of any of the language.
74_24 	A1NKIYEHUEU6NE 	Majority of the word formations are formed by adding suffixes at the end of the original word.
74_25 	A2GGFBEGFXJFRS 	In this way it can be said that Sanskrit is a scientific and grammatically efficient language.
74_26 	A2GGFBEGFXJFRS 	Sanskrit&#39;s grammar got its scientific representation from Vageesh Shastri.
74_29 	A23Y99P6PXHO5P 	Devanagari script is actually made for Sanskrit and that is why each symbol in it has one and only one sound.
74_30 	A23Y99P6PXHO5P 	There are 12 vowels and 34 consonants in Devanagari
74_31 	A23Y99P6PXHO5P 	There are two commonly used methods of transliteration from Devanagari to Roman: IAST and ITRANS. The combination of a vowel with none&#44; one or more consonants makes a word.
74_35 	A2URRK0RJ4DAI2 	In hindi their pronunciation is slightly different
74_36 	A23Y99P6PXHO5P 	In Sanskrit&#44; the sound &quot;ae&quot; comes with a combination of &quot;a&quot; and &quot;e&quot;.
74_37 	A23Y99P6PXHO5P 	Similarly &quot;au&quot; is said with a combination of &quot;a&quot; and &quot;u&quot;.
74_38 	AFD2H8FZGWTBE 	In addition to this&#44; in Hindi and Sanskrit these alphabetic are also considered as vowels.
74_43 	A1JNPLDD2U8VUC 	Am - Half Na&#44; Ma&#44; Da&#44; Gna&#44; Na for pronunciation from nose.
74_44 	A1JNPLDD2U8VUC 	An - To pronounce ovals through nose.
74_47 	AGUEWXL636ANK 	When any word is not used then that word could be &#39;a&#39;
74_48 	A1JNPLDD2U8VUC 	the absence of oval is indicated by comma.
74_52 	A12J6U15W1MWZ 	This is used in Marathi and Vidik Samskrit
74_53 	A12J6U15W1MWZ 	&#39;Sha&#39; accented in Sanskrit is like this: Making sound with touching the tip of tongue to palate.
74_54 	AZX0WRH12YUBH 	In the middle of Shukla Ajurrbado portion&#44;&quot;SO&quot; was to be  pronounced as if it is &quot;Kho&quot;
74_56 	AZX0WRH12YUBH 	In Hindi &quot;No&quot; is pronounced as &quot;Jho&quot;&#44; In other words  one has to strike the upper wall of the mouth on his tangue   tip to pronounce it.
74_57 	AZX0WRH12YUBH 	In Hindi there is no difference between &quot;Khynik&quot;   and &quot;Khyanjik&quot; in pronouncing but in Sanskrit  &quot;No&quot; is pronounced &quot;No&quot; with out touching top wall of   mouth.
74_58 	AZX0WRH12YUBH 	Importance of Sanskrit Language.
74_59 	A12J6U15W1MWZ 	1) Sanskrit is the most ancient book&#39;s (Vedic) language.
74_61 	AOG9H27586IOW 	The scientific formation of alphabets and grammar with good clarity is the reason for it being the most important is proved on its own.
74_62 	A1JNPLDD2U8VUC 	Because of its excellent literature its greatness is exceptional.
74_63 	AOG9H27586IOW 	4)It is considered the divine language.
74_64 	AOG9H27586IOW 	5) Sanskrit is not only a self made language&#44; it is also the cultural language and that is why its name is Sanskrit.
74_66 	AOG9H27586IOW 	Sanskrit got its cultural lineage not through ordinary scholars but due to great Saint Panini&#44; Saint Katyayan&#44; and conscience keeper of yoga scriptures Saint Patanjili.
74_67 	A1JNPLDD2U8VUC 	These three saints have implemented the yoga in this language.
74_68 	A3IEMHCG2FU56T 	That is the secret of the language
74_69 	A1JNPLDD2U8VUC 	In any other language in the world a word has one or two other meanings but Sanskrit has 25 meaning for word.
74_71 	AQ66MVPK21W6X 	&quot;Sandhi&quot; is the most improtant quality of sanskrit language.
74_72 	A3IYM6KNE3M7P4 	In sanskrit if two words comes adjacent to each other &#44;in sindhi the figure and pronounciation changes entirely.
74_73 	AQ66MVPK21W6X 	it is suppose to be the best language for computer and atrificial intelligence.
74_74 	A2EQZRRITDQ59I 	10)Studies suggest that learning sanskrit increases memory.
74_76 	AQ66MVPK21W6X 	there is no possibility of changing the meaning of sentence.
74_77 	A3IYM6KNE3M7P4 	It is because all words are built according to adjectives and tenses and even after cahnging the gender the word remains safe.
74_78 	AQ66MVPK21W6X 	for example-&quot;Aham Griham Gachhami&quot; and &quot;Gachhami griham aham&quot; both are correct.
74_79 	AQ66MVPK21W6X 	Sanskrit is the most perfect and logical language of the world.
74_81 	A12T8G7H6WN13A 	A study of this language helps students in the study of Mathematics&#44; Science and  other languages.
74_82 	A12T8G7H6WN13A 	15) Writing works in Sanskrit is continuously taking place for the past six thousand years.
74_83 	A12T8G7H6WN13A 	Several thousands of these books were being studied&#44; contemplated and thought by millions of people all over India and are still being studied and thought and contemplated even now.
74_84 	A12T8G7H6WN13A 	Probably there does not exist any language in the world which is so old&#44; spread over such a huge region and deals with such highly elevating thoughts and ideas.
74_86 	A12T8G7H6WN13A 	The importance of Sanskrit to India and The World.
74_87 	ADOXDQPX17PHN 	Sanskrit is the mother of all Indian languages.
74_88 	A12T8G7H6WN13A 	Most of the words of all Indian languages are either directly borrowed or derived from Sanskrit.
74_89 	A12T8G7H6WN13A 	Studying and teaching of Sanskrit language throughout India will certainly help in the unification of different regions of the country.
74_91 	A12T8G7H6WN13A 	The ancient books of the Hindus&#44; Buddhists and Jains are written in Sanskrit.
74_92 	A12T8G7H6WN13A 	All the books of prayers and ceremonies of the Hindus are written in Sanskrit.
74_93 	A12T8G7H6WN13A 	The names of Hindus&#44; Buddhists and Jains are derived from Sanskrit language.
74_94 	AYDB3VGUW1ESM 	The technical vocabulary of Indian languages is also derived from Sanskrit
74_96 	A12T8G7H6WN13A 	The literature of Sanskrit is very old&#44; large and varied.
74_97 	A2GGFBEGFXJFRS 	In this lies the treasure of spirituality&#44; philosophy&#44; knowledge&#44; science and literature.
74_98 	A12T8G7H6WN13A 	A study of this language has boosted progress in the fields of science and technology.
74_99 	A2GGFBEGFXJFRS 	Sanskrit is the most appropriate language for the artificial intelligence in computers.
820_3 	A13R3YPXVI2T7X 	Agra and Avadh United Province 1903
820_8 	A13R3YPXVI2T7X 	Uttar Pradesh is the largest state of India [by population].
820_9 	A13R3YPXVI2T7X 	Lucknow is the Administrative and Legislative Capital while Allahabad is the Judicial Capital.
831_2 	A2IKFQQ6A9JVIT 	North of Bihar is Nepal&#44; in the east is West Bengal&#44; In the west lies Uttarpradesh and in South is Jharkhand.
831_3 	A2IKFQQ6A9JVIT 	The name &#39;Bihar&#39; is believed to have been derived from Buddhists Vihars.
831_5 	A12T8G7H6WN13A 	In the ancient times it was the center of activity of mighty kingdoms but in modern times its one of India most economically backward state.
831_7 	A305RCO2RQ1LFN 	Bihar&#39;s historical name is Magath.
831_8 	A2IKFQQ6A9JVIT 	Historical name of Patna was Patliputra.
834_0 	AVWWDENWU115I 	Rjasthan is one of India&#39;s province|
834_2 	A1V6P1ZE6Q8YEW 	Rajasthan is the biggest state in India in terms of area.
834_3 	AVWWDENWU115I 	Towards its west is Pakistan&#44; south-west is Gujrat&#44; south-east is Madhyapradesh&#44; north is Punjab&#44; north-east is Uttar pradesh and Hariyana
834_5 	A3TMBSI2HW9NF4 	Jaipur is the capital of the state.
834_6 	A3TMBSI2HW9NF4 	Some of the geographical features  in the west are the Thar desert and the farther shore of the Ghaggar river.
834_7 	A3NOO9K3CY1YU5 	One of world&#39;s important and oldest of ranges&#44; the Aravali  is the only kind of mountain range in Rajasthan which is a tourist-center which comprises Mount Abu and the world-famous Bhilwara temples.
834_8 	A3TMBSI2HW9NF4 	Eastern Rajasthan has two tiger reserves&#44; Ranthambore and Sariska. The Kevaladev National Park is close to Bharatpur&#44; and has been established as a bird reserve.
843_1 	A2S1NJ34KB1OYI 	Tajmahal is the pride of Agra and is located near Yamuna river.
843_2 	A3TMBSI2HW9NF4 	Agra is located at 27.18 degrees North 78.02 degrees East on the shore of the Yamuna river.
843_3 	A13R3YPXVI2T7X 	Its average height is about 171 meters [561 feet] from the sea level.
843_4 	A1ZYNAB4UPQ1UF 	It is surrounded by cities of Mathura in the North&#44; Firozabad&#44; Shikohabad in the East&#44; Fatehabad in Southeast and Bharatpur in the West.
843_8 	A3TMBSI2HW9NF4 	The first mention of Agra is considered to be in the time of Mahabharata&#44; when it was referred to as Agraban or Agravan.
843_9 	A13R3YPXVI2T7X 	It is also said that this city was previously known as Aryagrah.
872_1 	AL9K2BNO4E0F4 	(2 October 1869 - 30 January 1948) He was an important political and spiritual leader of India and Indian Freedom Struggle.
872_2 	AL9K2BNO4E0F4 	He was a great leader opposed to oppression.  Through the medium of demand with obedience&#44; Satyagrah&#44; the concept founded on the fundament of complete non-violence&#44; he achieved freedom for India&#44; and inspired the world to fight for rights of the citizens and for freedom.
872_3 	AOG9H27586IOW 	Universally&#44;he was known by the name Mahatma Gandhi.
872_5 	AL9K2BNO4E0F4 	First of all Gandhi&#44; as a migrant lawyer in South Africa&#44; used these methods of obedient non-violent demands for employment&#44; during the struggle for civil rights of the Indian community.
872_6 	AL9K2BNO4E0F4 	In 1915&#44; after his return&#44; he joined forces with farmers&#44; industrial workmen&#44; and urban workers in India to raise their voice against excessive land tax and divisive practices.
872_7 	AOG9H27586IOW 	In 1921&#44; after the Bagdor conference of the Indian National Congress&#44; Gandhiji launched many country wide agitations&#44; for giving relief to the poor&#44; expansion of womens rights&#44; establishment of unity among religious and caste groups&#44; self-dependence&#44; eradication of untouchability.
